Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-11-12 04:08:00+00:00,103298.3984375,103298.3984375,103298.3984375,103298.3984375,17416192
2025-11-12 04:09:00+00:00,103354.1015625,103354.1015625,103354.1015625,103354.1015625,462848
2025-11-12 04:10:00+00:00,103340.21875,103340.21875,103340.21875,103340.21875,0
2025-11-12 04:11:00+00:00,103338.453125,103338.453125,103338.453125,103338.453125,7663616
2025-11-12 04:12:00+00:00,103319.59375,103319.59375,103319.59375,103319.59375,87384064
2025-11-12 04:13:00+00:00,103322.3125,103322.3125,103322.3125,103322.3125,0
2025-11-12 04:14:00+00:00,103330.296875,103330.296875,103330.296875,103330.296875,0
2025-11-12 04:15:00+00:00,103411.2734375,103411.2734375,103411.2734375,103411.2734375,132886528
2025-11-12 04:16:00+00:00,103409.2734375,103409.2734375,103409.2734375,103409.2734375,0
2025-11-12 04:17:00+00:00,103399.7890625,103399.7890625,103399.7890625,103399.7890625,0
2025-11-12 04:18:00+00:00,103379.84375,103379.84375,103379.84375,103379.84375,0
2025-11-12 04:19:00+00:00,103345.7734375,103345.7734375,103345.7734375,103345.7734375,0
2025-11-12 04:20:00+00:00,103326.8125,103326.8125,103326.8125,103326.8125,76648448
2025-11-12 04:21:00+00:00,103312.6015625,103312.6015625,103312.6015625,103312.6015625,0
2025-11-12 04:22:00+00:00,103310.671875,103310.671875,103310.671875,103310.671875,0
2025-11-12 04:23:00+00:00,103303.2109375,103303.2109375,103303.2109375,103303.2109375,19095552
2025-11-12 04:24:00+00:00,103260.5234375,103260.5234375,103260.5234375,103260.5234375,0
2025-11-12 04:25:00+00:00,103279.5625,103279.5625,103279.5625,103279.5625,0
2025-11-12 04:26:00+00:00,103272.9921875,103272.9921875,103272.9921875,103272.9921875,0
2025-11-12 04:27:00+00:00,103277.71875,103277.71875,103277.71875,103277.71875,46612480
2025-11-12 04:28:00+00:00,103210.71875,103210.71875,103210.71875,103210.71875,63012864
2025-11-12 04:29:00+00:00,103200.0078125,103200.0078125,103200.0078125,103200.0078125,0
2025-11-12 04:30:00+00:00,103183.984375,103183.984375,103183.984375,103183.984375,0
2025-11-12 04:31:00+00:00,103164.625,103164.625,103164.625,103164.625,0
2025-11-12 04:32:00+00:00,103193.109375,103193.109375,103193.109375,103193.109375,1466937344
2025-11-12 04:33:00+00:00,103213.6171875,103213.6171875,103213.6171875,103213.6171875,111788032
2025-11-12 04:34:00+00:00,103196.8125,103196.8125,103196.8125,103196.8125,676089856
2025-11-12 04:35:00+00:00,103177.625,103177.625,103177.625,103177.625,0
2025-11-12 04:36:00+00:00,103156.4921875,103156.4921875,103156.4921875,103156.4921875,0
2025-11-12 04:37:00+00:00,103127.671875,103127.671875,103127.671875,103127.671875,661778432
2025-11-12 04:38:00+00:00,103079.84375,103079.84375,103079.84375,103079.84375,0
2025-11-12 04:39:00+00:00,103110.34375,103110.34375,103110.34375,103110.34375,729858048
2025-11-12 04:40:00+00:00,103117.9375,103117.9375,103117.9375,103117.9375,0
2025-11-12 04:41:00+00:00,103117.640625,103117.640625,103117.640625,103117.640625,0
2025-11-12 04:42:00+00:00,103104.78125,103104.78125,103104.78125,103104.78125,0
2025-11-12 04:43:00+00:00,103089.046875,103089.046875,103089.046875,103089.046875,0
2025-11-12 04:44:00+00:00,103062.640625,103062.640625,103062.640625,103062.640625,791298048
2025-11-12 04:45:00+00:00,103043.453125,103043.453125,103043.453125,103043.453125,0
2025-11-12 04:46:00+00:00,103038.0390625,103038.0390625,103038.0390625,103038.0390625,0
2025-11-12 04:47:00+00:00,103057.8359375,103057.8359375,103057.8359375,103057.8359375,0
2025-11-12 04:48:00+00:00,103107.8203125,103107.8203125,103107.8203125,103107.8203125,45162496
2025-11-12 04:49:00+00:00,103117.2265625,103117.2265625,103117.2265625,103117.2265625,0
2025-11-12 04:51:00+00:00,103128.203125,103128.203125,103128.203125,103128.203125,692883456
2025-11-12 04:52:00+00:00,103139.703125,103139.703125,103139.703125,103139.703125,0
2025-11-12 04:53:00+00:00,103150.3125,103150.3125,103150.3125,103150.3125,60022784
2025-11-12 04:54:00+00:00,103150.265625,103150.265625,103150.265625,103150.265625,37679104
2025-11-12 04:55:00+00:00,103140.4296875,103140.4296875,103140.4296875,103140.4296875,0
2025-11-12 04:56:00+00:00,103153.671875,103153.671875,103153.671875,103153.671875,0
2025-11-12 04:57:00+00:00,103146.1953125,103146.1953125,103146.1953125,103146.1953125,701652992
2025-11-12 04:58:00+00:00,103165.796875,103165.796875,103165.796875,103165.796875,70754304
2025-11-12 04:59:00+00:00,103222.21875,103222.21875,103222.21875,103222.21875,11481088
2025-11-12 05:00:00+00:00,103210.8359375,103210.8359375,103210.8359375,103210.8359375,0
2025-11-12 05:01:00+00:00,103250.203125,103250.203125,103250.203125,103250.203125,0
